top5_avg,top10_avg,top15_avg,n_3plus_top10,n_3plus_top15,n_2plus_top10,n_zero_top10,config,time_s
0.68,1.2,1.82,4,13,17,12,BB3(0.99_0.95_0.7)_w0.4_0.3,0.1
0.72,1.18,1.84,4,14,17,12,BB3(1.0_0.85_0.65)_w0.5_0.3,0.1
0.64,1.22,1.8,4,14,18,12,BB3(0.99_0.95_0.7)_w0.5_0.25,0.1
0.7,1.2,1.82,4,13,17,12,BB3(0.99_0.95_0.7)_w0.33_0.33,0.1
0.68,1.14,1.72,4,13,15,12,BB3(1.0_0.85_0.65)_w0.7_0.2,0.1
0.62,1.22,1.82,4,11,17,11,BB3(0.95_0.85_0.65)_w0.5_0.3,0.1
0.7,1.12,1.8,4,14,15,13,BB3(1.0_0.85_0.65)_w0.6_0.25,0.1
0.66,1.16,1.82,4,12,17,13,BB3(0.95_0.85_0.65)_w0.4_0.3,0.1
0.66,1.16,1.82,4,12,17,14,BB3(0.97_0.85_0.7)_w0.4_0.3,0.1
0.64,1.18,1.8,4,12,17,13,BB3(0.97_0.85_0.7)_w0.33_0.33,0.1
0.66,1.16,1.82,4,11,18,14,BB(0.85_0.55)_w0.8,0.1
0.7,1.18,1.8,4,13,17,13,BB3(0.99_0.9_0.7)_w0.4_0.3,0.1
0.68,1.22,1.8,4,14,16,10,BB3(0.99_0.95_0.85)_w0.5_0.25,0.1
0.62,1.22,1.74,4,11,16,10,BB(0.95_0.55)_w0.8,0.1
0.68,1.22,1.78,4,12,17,10,BB(0.95_0.55)_w0.7,0.1
0.66,1.22,1.78,4,13,18,12,BB3(0.99_0.9_0.7)_w0.5_0.3,0.1
0.6,1.12,1.78,4,10,16,14,BB(0.9_0.7)_w0.6,0.1
0.58,1.24,1.66,4,15,18,10,BB(0.99_0.6)_w0.8,0.1
0.64,1.24,1.78,4,12,17,10,BB3(0.95_0.8_0.55)_w0.7_0.2,0.1
0.7,1.18,1.84,4,13,17,12,BB3(0.95_0.8_0.55)_w0.5_0.25,0.1
0.58,1.18,1.76,4,14,17,12,Freq+BB(0.95)_wf0.3,0.1
0.6,1.2,1.72,4,14,18,12,Freq+BB(0.7)_wf0.7,0.1
0.62,1.2,1.78,4,12,18,12,BB3(0.99_0.8_0.5)_w0.6_0.25,0.1
0.56,1.08,1.6,4,12,19,19,Freq+BB(0.95)_wf0.7,0.1
0.68,1.24,1.74,4,12,17,10,BB3(0.97_0.85_0.7)_w0.7_0.2,0.1
0.7,1.18,1.8,4,13,17,13,BB3(0.99_0.9_0.7)_w0.33_0.33,0.1
0.66,1.18,1.8,4,12,16,12,BB3(0.97_0.85_0.7)_w0.5_0.3,0.1
0.68,1.18,1.78,4,12,17,13,BB3(0.99_0.9_0.7)_w0.5_0.25,0.1
0.58,1.2,1.7,3,9,18,12,BB(d=0.85),0.1
0.56,1.26,1.76,3,10,20,10,BB(0.95_0.55)_w0.3,0.1
0.62,1.24,1.74,3,12,18,10,BB(0.95_0.85)_w0.3,0.1
0.64,1.24,1.72,3,12,18,10,BB(0.95_0.85)_w0.5,0.1
0.7,1.12,1.74,3,10,16,13,BB(0.95_0.7)_w0.2,0.1
0.68,1.14,1.76,3,10,18,14,BB(0.95_0.7)_w0.3,0.1
0.64,1.2,1.74,3,13,17,11,BB(0.99_0.85)_w0.6,0.1
0.6,1.22,1.74,3,11,18,11,BB(0.95_0.85)_w0.2,0.1
0.66,1.14,1.78,3,12,16,13,BB(0.97_0.8)_w0.5,0.1
0.56,1.22,1.82,3,11,19,11,BB(0.95_0.5)_w0.4,0.1
0.66,1.18,1.86,3,14,17,11,BB(0.95_0.5)_w0.6,0.1
