top10_5of5,top12_5of5,top15_5of5,top20_5of5,top25_5of5,top30_5of5,top40_5of5,top45_5of5,top10_3plus,top12_3plus,top15_3plus,top20_3plus,top25_3plus,top30_3plus,top40_3plus,top45_3plus,config
0,0,0,0,0,5,22,37,2,7,10,20,28,36,47,50,"PB(w80,d0.95,nl3,pw0.3)"
0,0,0,0,1,5,24,37,3,5,9,19,29,37,47,50,"PB(w80,d0.95,nl3,pw0.4)"
0,0,0,0,0,4,23,37,3,6,12,21,28,35,48,50,"PB(w80,d0.95,nl5,pw0.2)"
0,0,0,0,0,6,22,37,3,6,12,19,26,36,47,50,"PB(w80,d0.95,nl5,pw0.3)"
0,0,0,0,1,6,21,36,3,4,10,17,27,37,47,50,"PB(w80,d0.95,nl5,pw0.4)"
0,0,0,0,1,4,22,36,3,7,12,20,27,35,48,50,"PB(w80,d0.95,nl7,pw0.2)"
0,0,0,0,0,5,21,37,4,6,11,19,28,36,47,50,"PB(w80,d0.95,nl7,pw0.3)"
0,0,0,0,1,5,22,36,4,5,10,19,28,36,47,50,"PB(w80,d0.95,nl7,pw0.4)"
0,0,0,0,0,5,27,38,2,6,10,21,27,35,47,50,"PB(w80,d0.97,nl3,pw0.2)"
0,0,0,0,1,5,25,37,2,5,9,24,26,36,47,50,"PB(w80,d0.97,nl3,pw0.3)"
0,0,0,0,1,3,26,36,1,4,7,22,27,35,47,50,"PB(w80,d0.97,nl3,pw0.4)"
0,0,0,1,2,4,26,37,1,6,10,20,30,37,47,50,"PB(w80,d0.97,nl5,pw0.2)"
0,0,0,1,2,4,27,38,2,4,7,19,28,35,47,50,"PB(w80,d0.97,nl5,pw0.3)"
0,0,0,1,2,4,26,38,2,4,8,15,31,36,47,50,"PB(w80,d0.97,nl5,pw0.4)"
0,0,0,0,1,5,23,38,3,6,9,20,29,36,47,50,"PB(w80,d0.97,nl7,pw0.2)"
0,0,0,0,2,4,25,38,3,6,9,17,29,34,47,50,"PB(w80,d0.97,nl7,pw0.3)"
0,0,0,1,2,4,24,39,3,6,7,17,30,37,47,50,"PB(w80,d0.97,nl7,pw0.4)"
0,0,0,0,2,4,21,36,3,4,8,21,33,38,49,50,"PB(w100,d0.85,nl3,pw0.2)"
0,0,0,0,2,4,22,36,3,4,12,24,31,38,49,50,"PB(w100,d0.85,nl3,pw0.3)"
0,0,0,1,1,2,22,36,3,5,11,22,31,39,50,50,"PB(w100,d0.85,nl3,pw0.4)"
0,0,0,0,2,4,20,33,3,4,11,21,34,37,49,50,"PB(w100,d0.85,nl5,pw0.2)"
0,0,0,0,2,4,20,33,3,4,11,21,32,37,49,50,"PB(w100,d0.85,nl5,pw0.3)"
0,0,0,1,2,3,19,34,3,5,13,21,31,37,50,50,"PB(w100,d0.85,nl5,pw0.4)"
0,0,0,0,3,4,20,36,3,4,12,21,32,37,48,50,"PB(w100,d0.85,nl7,pw0.2)"
0,0,0,1,2,4,20,35,3,5,11,21,31,37,48,50,"PB(w100,d0.85,nl7,pw0.3)"
0,0,0,1,1,5,20,35,3,6,14,24,31,37,50,50,"PB(w100,d0.85,nl7,pw0.4)"
0,0,0,0,0,6,22,35,5,7,12,21,27,37,48,50,"PB(w100,d0.92,nl3,pw0.2)"
0,0,0,0,1,4,24,34,4,7,12,21,29,37,48,50,"PB(w100,d0.92,nl3,pw0.3)"
0,0,0,0,1,4,25,37,5,6,12,22,28,36,49,50,"PB(w100,d0.92,nl3,pw0.4)"
0,0,0,0,0,5,22,36,5,7,13,21,29,37,49,50,"PB(w100,d0.92,nl5,pw0.2)"
